DateTime,BasicIncidentType,BasicPropertyUse,CivilianCasualtySeverity,CauseOfInjury,HumanFactorsContributingToInjury,ActivityWhenInjured,AreaOfFireOrigin,CauseOfIgnition,DetectorPresence,FireJurisdictionBoundaries,CivilianCasualtyCount
1/10/19 6:41,111 - Building fire,419 - 1 or 2 family dwelling,Minor,1 - Exposed to fire products,"Asleep, no known impairment",Sleeping,Bedroom - < 5 persons; included are jail or prison,Unintentional,1 - Present,Portland Fire & Rescue,1
1/11/19 12:05,"160 - Special outside fire, other",931 - Open land or field,Minor,1 - Exposed to fire products,Possibly mentally disabled,"Activity, other","Open area, outside; included are farmland, field","Cause, other (System generated code only, not used for data entry)",N - Not Reported,Portland Fire & Rescue,1
1/11/19 14:57,111 - Building fire,215 - High school/junior high school/middle school,Minor,1 - Exposed to fire products,Not Reported,Fire control,"Maintenance shop or area, paint shop or area",Intentional,1 - Present,Silverton RFPD,1
1/13/19 2:32,111 - Building fire,419 - 1 or 2 family dwelling,Moderate,1 - Exposed to fire products,Possibly mentally disabled,"Activity, other","Cooking area, kitchen",Unintentional,N - None present,Portland Fire & Rescue,1
1/15/19 2:20,111 - Building fire,419 - 1 or 2 family dwelling,Severe,1 - Exposed to fire products,Possibly impaired by alcohol,"Activity, other",Bedroom - < 5 persons; included are jail or prison,Unintentional,1 - Present,Eugene Springfield Fire,1
1/16/19 0:02,111 - Building fire,419 - 1 or 2 family dwelling,Fatality,1 - Exposed to fire products,Not Reported,Not Reported,"Egress/exit, other",Intentional,U - Undetermined,Illinois Valley RFPD,1
1/18/19 13:10,111 - Building fire,419 - 1 or 2 family dwelling,Moderate,1 - Exposed to fire products,Not Reported,Fire control,"Common room, den, family room, living room, lounge",Cause undetermined after investigation,1 - Present,Mid-Columbia Fire & Rescue,1
1/19/19 15:53,111 - Building fire,429 - Multifamily dwelling,Life threatening,N - Not Reported,Not Reported,Not Reported,"Common room, den, family room, living room, lounge",Unintentional,1 - Present,Tualatin Valley Fire & Rescue,1
1/20/19 16:46,111 - Building fire,419 - 1 or 2 family dwelling,Fatality,1 - Exposed to fire products,"Physically disabled,Unattended or unsupervised person",Not Reported,"Common room, den, family room, living room, lounge",Unintentional,U - Undetermined,Roseburg Fire Department,1
1/21/19 16:02,111 - Building fire,419 - 1 or 2 family dwelling,Severe,N - Not Reported,Not Reported,Not Reported,Bedroom - < 5 persons; included are jail or prison,Cause undetermined after investigation,1 - Present,Redmond Fire & Rescue,1
1/21/19 16:02,111 - Building fire,419 - 1 or 2 family dwelling,Minor,N - Not Reported,Not Reported,Not Reported,Bedroom - < 5 persons; included are jail or prison,Cause undetermined after investigation,1 - Present,Redmond Fire & Rescue,1
1/22/19 10:03,111 - Building fire,419 - 1 or 2 family dwelling,Life threatening,7 - Struck by or contact with object,None,Irrational act,"Storage area, other",Intentional,1 - Present,Salem Fire Department,1
1/22/19 10:03,111 - Building fire,419 - 1 or 2 family dwelling,Minor,"0 - Cause of injury, other",None,"Activity, other","Storage area, other",Intentional,1 - Present,Salem Fire Department,1
1/25/19 10:32,611 - Dispatched and cancelled en route,UUU - Undetermined,Fatality,N - Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,N - Not Reported,No District,1
1/28/19 13:07,111 - Building fire,419 - 1 or 2 family dwelling,Fatality,N - Not Reported,Not Reported,Not Reported,"Cooking area, kitchen",Unintentional,1 - Present,Medford Fire Department,1
1/29/19 13:04,111 - Building fire,419 - 1 or 2 family dwelling,Moderate,"0 - Cause of injury, other",Not Reported,Not Reported,"Maintenance shop or area, paint shop or area",Failure of equipment or heat source,N - None present,Mt. Vernon RFD,1
2/1/19 11:18,111 - Building fire,429 - Multifamily dwelling,Fatality,N - Not Reported,Not Reported,Not Reported,Bedroom - < 5 persons; included are jail or prison,Unintentional,N - None present,Gresham Fire Department,1
2/1/19 15:16,111 - Building fire,419 - 1 or 2 family dwelling,Fatality,1 - Exposed to fire products,Unattended or unsupervised person,Escaping,Bedroom - < 5 persons; included are jail or prison,Unintentional,N - None present,Stayton Fire District,1
2/3/19 7:12,112 - Fires in structure other than in a building,931 - Open land or field,Moderate,1 - Exposed to fire products,"Asleep, no known impairment",Fire control,"Outside area, other",Cause under investigation,N - Not Reported,Gladstone Fire Department,1
2/5/19 6:11,111 - Building fire,419 - 1 or 2 family dwelling,Minor,1 - Exposed to fire products,None,Fire control,Bedroom - < 5 persons; included are jail or prison,Failure of equipment or heat source,1 - Present,North Lincoln Fire & Rescue District #1,1
2/5/19 6:29,"160 - Special outside fire, other",931 - Open land or field,Moderate,1 - Exposed to fire products,"Asleep, no known impairment",Sleeping,"Open area, outside; included are farmland, field",Unintentional,N - Not Reported,Portland Fire & Rescue,1
2/5/19 16:17,111 - Building fire,419 - 1 or 2 family dwelling,Minor,1 - Exposed to fire products,"Asleep, no known impairment",Escaping,Bedroom - < 5 persons; included are jail or prison,Unintentional,1 - Present,Salem Fire Department,1
2/6/19 9:22,111 - Building fire,419 - 1 or 2 family dwelling,Minor,1 - Exposed to fire products,Unattended or unsupervised person,"Activity, other","Common room, den, family room, living room, lounge",Unintentional,U - Undetermined,North Lincoln Fire & Rescue District #1,1
2/6/19 12:39,"122 - Fire in motor home, camper, recreational vehicle",419 - 1 or 2 family dwelling,Fatality,1 - Exposed to fire products,Not Reported,Undetermined,Undetermined,Cause under investigation,N - Not Reported,Bandon RFPD,1
2/6/19 23:48,111 - Building fire,"557 - Personal service, including barber & beauty shops",Fatality,1 - Exposed to fire products,"Asleep, no known impairment",Sleeping,Undetermined,Cause undetermined after investigation,1 - Present,Molalla RFPD #73,1
2/10/19 6:12,111 - Building fire,419 - 1 or 2 family dwelling,Moderate,N - Not Reported,Not Reported,Not Reported,Bedroom - < 5 persons; included are jail or prison,Unintentional,1 - Present,Tualatin Valley Fire & Rescue,1
2/10/19 11:26,137 - Camper or recreational vehicle (RV) fire,511 - Convenience store,Minor,1 - Exposed to fire products,None,Rescue attempt,Other area of fire origin,Unintentional,N - Not Reported,Illinois Valley RFPD,1
2/11/19 2:58,121 - Fire in mobile home used as fixed residence,419 - 1 or 2 family dwelling,Life threatening,1 - Exposed to fire products,"Asleep, no known impairment",Sleeping,"Function areas, other",Unintentional,N - None present,Harrisburg Fire & Rescue,1
2/12/19 3:32,131 - Passenger vehicle fire,"000 - Property Use, other",Minor,1 - Exposed to fire products,Not Reported,Not Reported,Not Reported,Not Reported,N - Not Reported,Hillsboro Fire & Rescue,1
2/12/19 9:07,111 - Building fire,419 - 1 or 2 family dwelling,Undetermined,N - Not Reported,Not Reported,Not Reported,"Common room, den, family room, living room, lounge",Unintentional,U - Undetermined,Gresham Fire Department,1
2/17/19 5:51,111 - Building fire,549 - Specialty shop,Minor,1 - Exposed to fire products,Possibly mentally disabled,Not Reported,"Entranceway, lobby",Intentional,N - None present,Medford Fire Department,1
2/19/19 13:55,111 - Building fire,419 - 1 or 2 family dwelling,Minor,1 - Exposed to fire products,Possibly mentally disabled,Rescue attempt,"Cooking area, kitchen",Unintentional,1 - Present,Portland Fire & Rescue,1
2/20/19 21:54,"113 - Cooking fire, confined to container",429 - Multifamily dwelling,Minor,1 - Exposed to fire products,Possibly mentally disabled,Fire control,"Cooking area, kitchen",Unintentional,1 - Present,Portland Fire & Rescue,1
2/22/19 1:54,111 - Building fire,429 - Multifamily dwelling,Moderate,1 - Exposed to fire products,None,Fire control,"Vehicle storage area; garage, carport",Cause undetermined after investigation,N - None present,Tualatin Valley Fire & Rescue,1
2/22/19 17:14,111 - Building fire,"449 - Hotel/motel, commercial",Fatality,1 - Exposed to fire products,Possibly impaired by other drug or chemical,Not Reported,Bedroom - < 5 persons; included are jail or prison,Unintentional,1 - Present,Eugene Springfield Fire,1
2/23/19 11:49,111 - Building fire,419 - 1 or 2 family dwelling,Minor,1 - Exposed to fire products,Not Reported,Fire control,Bedroom - < 5 persons; included are jail or prison,Intentional,1 - Present,Polk County Fire District No. 1,1
2/24/19 15:45,111 - Building fire,429 - Multifamily dwelling,Minor,"0 - Cause of injury, other",Possibly mentally disabled,Fire control,"Laundry area, wash house (laundry)",Unintentional,1 - Present,Portland Fire & Rescue,1
2/24/19 17:36,111 - Building fire,429 - Multifamily dwelling,Moderate,1 - Exposed to fire products,Possibly impaired by alcohol,"Activity, other","Exterior balcony, unenclosed porch",Unintentional,U - Undetermined,Jackson County Fire District #4,1
2/24/19 19:52,"113 - Cooking fire, confined to container",419 - 1 or 2 family dwelling,Minor,1 - Exposed to fire products,Not Reported,Not Reported,"Cooking area, kitchen",Unintentional,1 - Present,Boardman RFPD,1
3/2/19 8:19,111 - Building fire,429 - Multifamily dwelling,Minor,1 - Exposed to fire products,Possibly mentally disabled,Returning to vicinity of fire before control of fire,Bedroom - < 5 persons; included are jail or prison,Unintentional,1 - Present,Portland Fire & Rescue,1
3/3/19 5:48,111 - Building fire,419 - 1 or 2 family dwelling,Life threatening,1 - Exposed to fire products,None,Fire control,"Common room, den, family room, living room, lounge",Unintentional,U - Undetermined,Keizer Fire District,1
3/3/19 5:48,111 - Building fire,419 - 1 or 2 family dwelling,Moderate,1 - Exposed to fire products,None,Rescue attempt,"Common room, den, family room, living room, lounge",Unintentional,U - Undetermined,Keizer Fire District,1
3/3/19 5:48,111 - Building fire,419 - 1 or 2 family dwelling,Fatality,1 - Exposed to fire products,None,Returning to vicinity of fire before control of fire,"Common room, den, family room, living room, lounge",Unintentional,U - Undetermined,Keizer Fire District,1
3/4/19 11:11,111 - Building fire,419 - 1 or 2 family dwelling,Life threatening,1 - Exposed to fire products,Possibly impaired by other drug or chemical,Irrational act,"Cooking area, kitchen",Intentional,N - None present,No District,1
3/5/19 1:19,111 - Building fire,419 - 1 or 2 family dwelling,Minor,"0 - Cause of injury, other",Not Reported,Fire control,Bedroom - < 5 persons; included are jail or prison,Unintentional,1 - Present,Harrisburg Fire & Rescue,1
3/6/19 11:07,111 - Building fire,"400 - Residential, other",Minor,1 - Exposed to fire products,Possibly mentally disabled,Undetermined,Bedroom - < 5 persons; included are jail or prison,Unintentional,N - None present,Portland Fire & Rescue,1
3/6/19 15:48,"321 - EMS call, excluding vehicle accident with injury",419 - 1 or 2 family dwelling,Fatality,N - Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,N - Not Reported,Sweet Home Fire & Ambulance District,1
3/6/19 16:32,111 - Building fire,419 - 1 or 2 family dwelling,Minor,N - Not Reported,Not Reported,Not Reported,"Vehicle storage area; garage, carport",Unintentional,U - Undetermined,Tualatin Valley Fire & Rescue,1
3/7/19 12:07,111 - Building fire,419 - 1 or 2 family dwelling,Minor,1 - Exposed to fire products,"Possibly mentally disabled,Unattended or unsupervised person",Fire control,"Bathroom, checkroom, lavatory, locker room",Unintentional,1 - Present,Roseburg Fire Department,1
3/7/19 20:41,111 - Building fire,429 - Multifamily dwelling,Undetermined,1 - Exposed to fire products,Possibly mentally disabled,Rescue attempt,Bedroom - < 5 persons; included are jail or prison,Intentional,1 - Present,Portland Fire & Rescue,1
3/7/19 20:41,111 - Building fire,429 - Multifamily dwelling,Minor,1 - Exposed to fire products,None,Irrational act,Bedroom - < 5 persons; included are jail or prison,Intentional,1 - Present,Portland Fire & Rescue,1
3/7/19 21:04,"114 - Chimney or flue fire, confined to chimney or flue",419 - 1 or 2 family dwelling,Minor,9 - Multiple causes,"Possibly impaired by alcohol,Possibly impaired by other drug or chemical",Irrational act,"Heating room or area, water heater area",Unintentional,1 - Present,Deschutes County RFPD #2,1
3/9/19 14:30,132 - Road freight or transport vehicle fire,"962 - Residential street, road or residential driveway",Moderate,1 - Exposed to fire products,Not Reported,Fire control,Cargo/trunk area-all vehicles,Unintentional,N - Not Reported,Salem Fire Department,1
3/10/19 12:57,111 - Building fire,419 - 1 or 2 family dwelling,Minor,1 - Exposed to fire products,"Asleep, no known impairment",Sleeping,"Egress/exit, other",Unintentional,1 - Present,Portland Fire & Rescue,1
3/10/19 22:47,"122 - Fire in motor home, camper, recreational vehicle","400 - Residential, other",Fatality,N - Not Reported,Not Reported,Not Reported,Undetermined,Unintentional,N - Not Reported,North Sherman RFPD,1
3/15/19 3:40,111 - Building fire,419 - 1 or 2 family dwelling,Life threatening,1 - Exposed to fire products,None,Rescue attempt,"Function areas, other",Unintentional,U - Undetermined,Sandy Fire District #72,1
3/15/19 3:40,111 - Building fire,419 - 1 or 2 family dwelling,Fatality,1 - Exposed to fire products,Physically disabled,Sleeping,"Function areas, other",Unintentional,U - Undetermined,Sandy Fire District #72,1
3/16/19 15:08,111 - Building fire,419 - 1 or 2 family dwelling,Minor,3 - Jumped in escape attempt,Possibly mentally disabled,Escaping,"Exterior balcony, unenclosed porch",Unintentional,1 - Present,Portland Fire & Rescue,1
3/16/19 15:08,111 - Building fire,419 - 1 or 2 family dwelling,Minor,3 - Jumped in escape attempt,Possibly mentally disabled,Escaping,"Exterior balcony, unenclosed porch",Unintentional,1 - Present,Portland Fire & Rescue,1
3/17/19 11:34,137 - Camper or recreational vehicle (RV) fire,"960 - Street, other",Severe,1 - Exposed to fire products,"Asleep, no known impairment",Undetermined,"Highway, parking lot, street: on or near",Failure of equipment or heat source,N - Not Reported,Portland Fire & Rescue,1
3/19/19 14:09,142 - Brush or brush-and-grass mixture fire,419 - 1 or 2 family dwelling,Moderate,1 - Exposed to fire products,None,Fire control,"Wildland, woods",Unintentional,N - Not Reported,Estacada Rural Fire District #69,1
3/19/19 15:17,143 - Grass fire,931 - Open land or field,Minor,1 - Exposed to fire products,None,Fire control,"Open area, outside; included are farmland, field",Unintentional,N - Not Reported,Stayton Fire District,1
3/23/19 1:59,112 - Fires in structure other than in a building,429 - Multifamily dwelling,Severe,5 - Caught or trapped,Not Reported,Not Reported,"Courtyard, patio, terrace",Cause undetermined after investigation,N - None present,Eugene Springfield Fire,1
3/23/19 6:27,"151 - Outside rubbish, trash or waste fire","900 - Outside or special property, other",Minor,1 - Exposed to fire products,Possibly mentally disabled,Fire control,"Open area, outside; included are farmland, field",Unintentional,N - Not Reported,Portland Fire & Rescue,1
3/25/19 12:25,"160 - Special outside fire, other","962 - Residential street, road or residential driveway",Minor,1 - Exposed to fire products,Possibly mentally disabled,Irrational act,"Highway, parking lot, street: on or near",Intentional,N - Not Reported,Portland Fire & Rescue,1
3/25/19 17:30,111 - Building fire,429 - Multifamily dwelling,Fatality,N - Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,N - Not Reported,Hillsboro Fire & Rescue,1
3/26/19 19:07,121 - Fire in mobile home used as fixed residence,419 - 1 or 2 family dwelling,Minor,1 - Exposed to fire products,"Asleep, no known impairment",Escaping,"Cooking area, kitchen",Unintentional,1 - Present,Stayton Fire District,1
3/28/19 8:57,"160 - Special outside fire, other",938 - Graded and cared-for plots of land,Minor,1 - Exposed to fire products,Possibly impaired by alcohol,Sleeping,"Courtyard, patio, terrace",Cause undetermined after investigation,N - Not Reported,Salem Fire Department,1
4/1/19 2:40,"160 - Special outside fire, other","900 - Outside or special property, other",Moderate,1 - Exposed to fire products,Possibly mentally disabled,"Activity, other","Outside area, other",Unintentional,N - Not Reported,Portland Fire & Rescue,1
4/1/19 7:15,"122 - Fire in motor home, camper, recreational vehicle","400 - Residential, other",Minor,"0 - Cause of injury, other",Possibly impaired by alcohol,Rescue attempt,"Function areas, other",Cause undetermined after investigation,N - Not Reported,Oakridge Fire Department,1
4/1/19 14:40,132 - Road freight or transport vehicle fire,965 - Vehicle parking area,Fatality,1 - Exposed to fire products,None,Undetermined,"Outside area, other",Cause under investigation,N - Not Reported,Clackamas Fire District #1,1
4/3/19 18:39,111 - Building fire,429 - Multifamily dwelling,Minor,1 - Exposed to fire products,Possibly mentally disabled,Fire control,"Cooking area, kitchen",Unintentional,1 - Present,Portland Fire & Rescue,1
4/6/19 20:22,111 - Building fire,419 - 1 or 2 family dwelling,Fatality,N - Not Reported,Not Reported,Not Reported,"Dining room, cafeteria, bar area, beverage service",Unintentional,N - None present,South Lane County Fire & Rescue,1
4/8/19 4:56,111 - Building fire,"400 - Residential, other",Fatality,N - Not Reported,Not Reported,Not Reported,Bedroom - < 5 persons; included are jail or prison,Cause undetermined after investigation,1 - Present,North Bay RFPD,1
4/8/19 16:27,111 - Building fire,419 - 1 or 2 family dwelling,Minor,1 - Exposed to fire products,Unattended or unsupervised person,Fire control,"Cooking area, kitchen",Unintentional,1 - Present,Corvallis Fire Department,1
4/10/19 18:55,111 - Building fire,419 - 1 or 2 family dwelling,Moderate,N - Not Reported,Not Reported,Not Reported,Bedroom - < 5 persons; included are jail or prison,Intentional,1 - Present,Tualatin Valley Fire & Rescue,1
4/11/19 19:48,111 - Building fire,419 - 1 or 2 family dwelling,Minor,1 - Exposed to fire products,None,Fire control,"Courtyard, patio, terrace",Cause undetermined after investigation,N - None present,Sandy Fire District #72,1
4/12/19 14:00,111 - Building fire,419 - 1 or 2 family dwelling,Minor,1 - Exposed to fire products,Possibly mentally disabled,Fire control,"Vehicle storage area; garage, carport",Unintentional,N - None present,Portland Fire & Rescue,1
4/14/19 14:36,111 - Building fire,419 - 1 or 2 family dwelling,Minor,1 - Exposed to fire products,Possibly impaired by other drug or chemical,"Activity, other","Bathroom, checkroom, lavatory, locker room",Unintentional,N - None present,Monitor RFPD #58,1
4/16/19 17:51,111 - Building fire,419 - 1 or 2 family dwelling,Minor,1 - Exposed to fire products,Possibly mentally disabled,Fire control,"Outside area, other",Unintentional,N - None present,Portland Fire & Rescue,1
4/20/19 5:21,111 - Building fire,419 - 1 or 2 family dwelling,Fatality,1 - Exposed to fire products,None,Escaping,"Function areas, other",Unintentional,1 - Present,Portland Fire & Rescue,1
4/21/19 0:09,111 - Building fire,419 - 1 or 2 family dwelling,Minor,1 - Exposed to fire products,Possibly mentally disabled,"Activity, other","Courtyard, patio, terrace",Cause under investigation,N - None present,Portland Fire & Rescue,1
4/25/19 21:06,154 - Dumpster or other outside trash receptacle fire,419 - 1 or 2 family dwelling,Moderate,N - Not Reported,Not Reported,Not Reported,"Outside area, other",Intentional,N - Not Reported,South Gilliam County RFPD,1
4/27/19 20:58,"160 - Special outside fire, other","900 - Outside or special property, other",Minor,1 - Exposed to fire products,Possibly mentally disabled,Escaping,Railroad right-of-way: on or near,Intentional,N - Not Reported,Portland Fire & Rescue,1
4/27/19 21:51,112 - Fires in structure other than in a building,419 - 1 or 2 family dwelling,Severe,1 - Exposed to fire products,Possibly impaired by alcohol,Fire control,"Entranceway, lobby",Unintentional,1 - Present,Marion County Fire District No.1,1
4/28/19 16:02,111 - Building fire,419 - 1 or 2 family dwelling,Minor,1 - Exposed to fire products,Possibly impaired by other drug or chemical,Irrational act,"Cooking area, kitchen",Unintentional,1 - Present,McMinnville Fire District,1
4/29/19 6:35,131 - Passenger vehicle fire,"962 - Residential street, road or residential driveway",Fatality,1 - Exposed to fire products,"Asleep, no known impairment",Sleeping,Operator/passenger area of transportation equipment,Unintentional,N - Not Reported,Portland Fire & Rescue,1
4/29/19 6:35,131 - Passenger vehicle fire,"962 - Residential street, road or residential driveway",Fatality,1 - Exposed to fire products,"Asleep, no known impairment",Sleeping,Operator/passenger area of transportation equipment,Unintentional,N - Not Reported,Portland Fire & Rescue,1
5/2/19 19:09,111 - Building fire,429 - Multifamily dwelling,Minor,2 - Exposed to hazardous materials or toxic fumes other than smoke,Possibly impaired by other drug or chemical,Undetermined,"Common room, den, family room, living room, lounge",Intentional,1 - Present,Gresham Fire Department,1
5/5/19 12:06,111 - Building fire,659 - Livestock production,Minor,1 - Exposed to fire products,None,"Activity, other","Storage room, area, tank, or bin",Cause undetermined after investigation,N - None present,Amity Fire District,1
5/6/19 3:51,111 - Building fire,429 - Multifamily dwelling,Life threatening,1 - Exposed to fire products,"Asleep, no known impairment",Escaping,Bedroom - < 5 persons; included are jail or prison,Cause under investigation,1 - Present,Marion County Fire District No.1,1
5/6/19 3:51,111 - Building fire,429 - Multifamily dwelling,Minor,1 - Exposed to fire products,"Asleep, no known impairment",Escaping,Bedroom - < 5 persons; included are jail or prison,Cause under investigation,1 - Present,Marion County Fire District No.1,1
5/6/19 3:51,111 - Building fire,429 - Multifamily dwelling,Minor,1 - Exposed to fire products,"Asleep, no known impairment",Escaping,Bedroom - < 5 persons; included are jail or prison,Cause under investigation,1 - Present,Marion County Fire District No.1,1
5/6/19 3:51,111 - Building fire,429 - Multifamily dwelling,Minor,1 - Exposed to fire products,"Asleep, no known impairment",Rescue attempt,Bedroom - < 5 persons; included are jail or prison,Cause under investigation,1 - Present,Marion County Fire District No.1,1
5/6/19 3:51,111 - Building fire,429 - Multifamily dwelling,Minor,1 - Exposed to fire products,Not Reported,Rescue attempt,Bedroom - < 5 persons; included are jail or prison,Cause under investigation,1 - Present,Marion County Fire District No.1,1
5/6/19 3:51,111 - Building fire,429 - Multifamily dwelling,Minor,1 - Exposed to fire products,Not Reported,Rescue attempt,Bedroom - < 5 persons; included are jail or prison,Cause under investigation,1 - Present,Marion County Fire District No.1,1
5/6/19 3:51,111 - Building fire,429 - Multifamily dwelling,Minor,1 - Exposed to fire products,Not Reported,Rescue attempt,Bedroom - < 5 persons; included are jail or prison,Cause under investigation,1 - Present,Marion County Fire District No.1,1
5/6/19 3:51,111 - Building fire,429 - Multifamily dwelling,Minor,1 - Exposed to fire products,"Asleep, no known impairment",Escaping,Bedroom - < 5 persons; included are jail or prison,Cause under investigation,1 - Present,Marion County Fire District No.1,1
5/6/19 3:51,111 - Building fire,429 - Multifamily dwelling,Minor,1 - Exposed to fire products,"Asleep, no known impairment",Escaping,Bedroom - < 5 persons; included are jail or prison,Cause under investigation,1 - Present,Marion County Fire District No.1,1
5/6/19 3:51,111 - Building fire,429 - Multifamily dwelling,Minor,1 - Exposed to fire products,"Asleep, no known impairment",Escaping,Bedroom - < 5 persons; included are jail or prison,Cause under investigation,1 - Present,Marion County Fire District No.1,1
5/6/19 3:51,111 - Building fire,429 - Multifamily dwelling,Minor,1 - Exposed to fire products,"Asleep, no known impairment",Escaping,Bedroom - < 5 persons; included are jail or prison,Cause under investigation,1 - Present,Marion County Fire District No.1,1
5/7/19 20:07,111 - Building fire,"881 - Parking garage, (detached residential garage)",Minor,1 - Exposed to fire products,Unattended or unsupervised person,Escaping,"Vehicle storage area; garage, carport",Cause undetermined after investigation,N - None present,Salem Fire Department,1
5/9/19 20:48,"160 - Special outside fire, other",419 - 1 or 2 family dwelling,Moderate,1 - Exposed to fire products,Possibly mentally disabled,Irrational act,"Function areas, other",Unintentional,N - Not Reported,Portland Fire & Rescue,1
5/9/19 20:48,"160 - Special outside fire, other",419 - 1 or 2 family dwelling,Minor,1 - Exposed to fire products,Possibly mentally disabled,Undetermined,"Function areas, other",Unintentional,N - Not Reported,Portland Fire & Rescue,1
5/9/19 20:48,"160 - Special outside fire, other",419 - 1 or 2 family dwelling,Minor,1 - Exposed to fire products,Possibly mentally disabled,Undetermined,"Function areas, other",Unintentional,N - Not Reported,Portland Fire & Rescue,1
5/9/19 20:48,"160 - Special outside fire, other",419 - 1 or 2 family dwelling,Minor,1 - Exposed to fire products,Possibly mentally disabled,Undetermined,"Function areas, other",Unintentional,N - Not Reported,Portland Fire & Rescue,1
5/11/19 0:52,111 - Building fire,419 - 1 or 2 family dwelling,Undetermined,N - Not Reported,Not Reported,Not Reported,"Attic: vacant, crawl space above top story",Cause undetermined after investigation,1 - Present,No District,1
5/11/19 13:34,111 - Building fire,429 - Multifamily dwelling,Minor,1 - Exposed to fire products,None,Irrational act,"Cooking area, kitchen",Unintentional,1 - Present,Portland Fire & Rescue,1
5/12/19 17:10,111 - Building fire,419 - 1 or 2 family dwelling,Fatality,N - Not Reported,Not Reported,Not Reported,Undetermined,Unintentional,U - Undetermined,Umatilla RFPD,1
5/12/19 17:10,111 - Building fire,419 - 1 or 2 family dwelling,Fatality,N - Not Reported,Not Reported,Not Reported,Undetermined,Unintentional,U - Undetermined,Umatilla RFPD,1
5/15/19 8:41,121 - Fire in mobile home used as fixed residence,419 - 1 or 2 family dwelling,Minor,N - Not Reported,Not Reported,Not Reported,Bedroom - < 5 persons; included are jail or prison,Unintentional,1 - Present,Tualatin Valley Fire & Rescue,1
5/15/19 21:37,111 - Building fire,419 - 1 or 2 family dwelling,Minor,N - Not Reported,Not Reported,Not Reported,"Cooking area, kitchen",Unintentional,1 - Present,Tualatin Valley Fire & Rescue,1
5/17/19 15:59,"113 - Cooking fire, confined to container",419 - 1 or 2 family dwelling,Moderate,"0 - Cause of injury, other",None,Fire control,"Cooking area, kitchen",Unintentional,1 - Present,Tualatin Valley Fire & Rescue,1
5/18/19 10:35,111 - Building fire,"400 - Residential, other",Fatality,1 - Exposed to fire products,Not Reported,Not Reported,"Cooking area, kitchen",Unintentional,N - None present,Eugene Springfield Fire,1
5/18/19 23:43,111 - Building fire,419 - 1 or 2 family dwelling,Fatality,N - Not Reported,Not Reported,Not Reported,Undetermined,Cause under investigation,1 - Present,Klamath County Fire District  No. 3,1
5/19/19 11:06,131 - Passenger vehicle fire,419 - 1 or 2 family dwelling,Severe,1 - Exposed to fire products,Not Reported,Not Reported,"Exterior, exposed surface",Unintentional,N - None present,Umatilla County Fire District 1,1
5/22/19 17:16,111 - Building fire,419 - 1 or 2 family dwelling,Minor,N - Not Reported,Not Reported,Not Reported,Closet,Unintentional,1 - Present,Tualatin Valley Fire & Rescue,1
